Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2025-01-02,243.5821990966797,417.74237060546875,379.2799987792969,248.826433311358,425.2174031564215,392.7300109863281,241.55442975303322,414.01985416103116,373.0400085449219,248.65660659999048,424.67847521686525,390.1000061035156,55740700,16896500,109710700
2025-01-03,243.0927276611328,422.5028381347656,410.44000244140625,243.91181916074598,423.1814700735548,411.8800048828125,241.624340886356,418.7004647827294,379.45001220703125,243.0927276611328,420.2373611517797,381.4800109863281,40244100,16662900,95423300
2025-01-06,244.73092651367188,426.99383544921875,411.04998779296875,247.05836939894766,433.450889550372,426.42999267578125,242.93290033169586,424.6285829292995,401.70001220703125,244.04168187374515,427.1435291929144,423.20001220703125,45045600,20573600,85516500
2025-01-07,241.94400024414062,421.5247802734375,394.3599853515625,245.28032844029428,429.7882097463078,414.3299865722656,241.08494412707995,419.957914728963,390.0,242.71314361950866,428.1415176926379,405.8299865722656,40856000,18139100,75699500
2025-01-08,242.43344116210938,423.7104187011719,394.94000244140625,243.44234164075266,426.11559975123726,402.5,239.78635773622742,420.69647292951623,387.3999938964844,241.65429905026372,422.61261379874435,392.95001220703125,37628900,15054600,73038800
2025-01-10,236.58987426757812,418.11163330078125,394.739990234375,239.8962364632009,423.86008600637365,399.2799987792969,232.74409661721964,414.1894746460312,377.2900085449219,239.7463920626497,423.7802594986814,391.3999938964844,61710900,20201100,62287300
2025-01-13,234.14256286621094,416.35516357421875,403.30999755859375,234.41227060505477,417.66253969684465,403.7900085449219,229.46771001708314,411.4649750549722,380.07000732421875,233.27352322575203,414.4090535363967,383.2099914550781,49630700,17604800,67580500
2025-01-14,233.02378845214844,414.8382263183594,396.3599853515625,235.8606656353981,418.9000587938386,422.6400146484375,232.21468051006943,409.89811945983064,394.5400085449219,234.49217517741417,416.9739281792526,414.3399963378906,39435300,16935900,84565000
2025-01-15,237.60874938964844,425.4569091796875,428.2200012207031,238.6975638581554,427.29322350331137,429.79998779296875,234.17252500331003,417.4329894853562,405.6600036621094,234.38230107288462,418.29128437786517,409.8999938964844,39832000,19637800,81375500
2025-01-16,228.00930786132812,423.7303466796875,413.82000732421875,237.74859991927732,428.6305247845027,424.0,227.7795647267042,423.5407549144398,409.1300048828125,237.089336348529,427.84212760615685,423.489990234375,71759100,15300000,68335200
2025-01-17,229.7274169921875,428.1714782714844,426.5,232.03487756376998,433.61058460419247,439.739990234375,228.22906438809179,427.31321381371214,419.75,231.86506609768284,433.22135040368397,421.5,68488300,26197500,94991400
2025-01-21,222.39547729492188,427.64251708984375,424.07000732421875,224.17352112887505,430.03770829379437,433.20001220703125,219.13906319002535,424.7483264493822,406.30999755859375,223.75398423747347,429.33912735658424,432.6400146484375,98070400,26085700,87320900
2025-01-22,223.58416748046875,445.30712890625,415.1099853515625,223.87384226456615,446.37496460039233,428.0,219.54859611049605,435.1275277712005,414.5899963378906,219.54859611049605,436.68440364505375,416.80999755859375,64126500,27803800,60963300
2025-01-23,223.41436767578125,445.8160705566406,412.3800048828125,226.78066167492807,445.85599903960934,420.7300109863281,222.05586069453574,440.61650492666485,408.95001220703125,224.493183388126,441.1155043659929,416.05999755859375,60234800,18389300,50690600
2025-01-24,222.5353240966797,443.17138671875,406.5799865722656,225.38220009721186,445.7562002010948,418.8800048828125,221.16683361690275,440.5167060042179,405.7799987792969,224.53312753788666,444.2691915941594,414.45001220703125,54697900,15549500,56427100
2025-01-27,229.6075439453125,433.6903991699219,397.1499938964844,231.89502211760887,434.32913308449037,406.69000244140625,223.73399710835045,422.6525337820519,389.0,223.77396171163917,423.16152296669173,394.79998779296875,94863400,35647800,58125500
2025-01-28,237.99832153320312,446.30511474609375,398.0899963378906,239.9262098046868,447.4827461239755,400.5899963378906,230.55650666713984,430.51676503368185,386.5,230.59647127201654,433.73032267022137,396.9100036621094,75707600,23491700,48910700
2025-01-29,239.0971221923828,441.44482421875,389.1000061035156,239.5965730646729,445.98573732495043,398.5899963378906,233.75299176206667,439.51869372032735,384.4800109863281,233.86287156365174,445.79611510422404,395.2099914550781,45486100,23581400,68033600
2025-01-30,237.3290557861328,414.1595458984375,400.2799987792969,240.52553823889048,422.0137922192137,412.5,236.94948349745044,412.33322134699057,384.4100036621094,238.40787147181928,417.9319804505241,410.7799987792969,55658300,54586300,98092900
2025-01-31,235.74081420898438,414.22943115234375,404.6000061035156,246.91852728753366,419.84816997012905,419.989990234375,233.18362815459494,414.0797374049759,401.3399963378906,246.91852728753366,418.141600337115,401.5299987792969,101075100,34223400,83568200
